d,n,n_min,sigma_x,corr,center_fraction,n_centers,count,failed_rate,pass_h0_core_rate,pass_mass_at_h0_rate,pass_mass_below_099_rate,pass_mass_above_101_rate,pass_grid_monotone_rate,h0_mean,h0_std,h0_mean_ci95_low,h0_mean_ci95_high,h0_median,h0_median_ci95_low,h0_median_ci95_high,h0_q25,h0_q75,h0_over_sigma_x_median,mass_h0_median,mass_099_h0_median,mass_101_h0_median,center_mass_q05_h0_median,center_mass_min_h0_median
100,1000,10.0,0.7,0.3,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,8.981337110670639,0.034937593411964125,8.978274695584135,8.984399525757143,8.981158902848954,8.975179649982785,8.984973686374513,8.95725048552282,9.004284889931048,12.830227004069933,10.000000000000021,7.993493809844481,12.432591562874695,1.4861265064422353,1.0000024312523739
100,1000,10.0,0.7,0.3,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,8.979733811534654,0.02497395906391907,8.977544747505393,8.981922875563916,8.978933441809385,8.976119005294732,8.982369188456223,8.963627727185038,8.99691388244429,12.827047774013408,10.00000000000002,7.994982902194735,12.4333814299417,1.4622931061640223,0.9999999999999997
100,1000,10.0,0.7,0.7,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,8.315169342555143,0.04267624118284903,8.31142860508383,8.318910080026455,8.316945908652253,8.311254607320116,8.320911715598807,8.286192380763165,8.343454682843609,11.881351298074648,10.000000000000018,8.50183307601029,11.72070662945648,1.400403211350331,1.0
100,1000,10.0,0.7,0.7,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,8.315925748578179,0.032501359590222025,8.313076878801507,8.318774618354851,8.31460337884577,8.311045910390307,8.318176296083303,8.295676691543633,8.336928393843982,11.878004826922531,10.000000000000016,8.501935722884035,11.71938052365791,1.3784491363596236,0.9999999999999992
100,1000,10.0,1.0,0.0,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,12.970003432550316,0.043248877531096803,12.96621250129,12.973794363810631,12.970225696519275,12.96491414600656,12.976255257802219,12.937352528661595,12.999077803816304,12.970225696519275,10.000000000000014,7.8814788196947605,12.604729830947424,1.5115632695803995,1.0111399577852282
100,1000,10.0,1.0,0.0,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,12.966835944977392,0.03298000465504931,12.96394512011096,12.969726769843824,12.964866992195846,12.961933749831152,12.96963137343929,12.942562695794134,12.990130285841825,12.964866992195846,10.000000000000016,7.885231593029596,12.597764171408507,1.4782493840491742,0.9999999999999997
100,1000,10.0,1.0,0.3,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,12.83048158667234,0.04991084773137731,12.826106707977333,12.834856465367347,12.830227004069933,12.82168521426112,12.83567669482073,12.796072122175456,12.863264128472926,12.830227004069933,10.000000000000014,7.993493809844477,12.432591562874698,1.4861265064422344,1.0000024312523736
100,1000,10.0,1.0,0.3,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,12.82819115933522,0.03567708437702712,12.825063925007703,12.831318393662736,12.827047774013408,12.823027150421048,12.831955983508891,12.805182467407198,12.852734117777558,12.827047774013408,10.000000000000014,7.994982902194708,12.433381429941678,1.4622931061640219,0.9999999999999997
100,1000,10.0,1.0,0.7,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,11.878813346507346,0.06096605883264149,11.873469435834041,11.884157257180652,11.881351298074648,11.873220867600166,11.887016736569725,11.837417686804521,11.91922097549087,11.881351298074648,10.00000000000001,8.501833076010284,11.72070662945648,1.4004032113503302,1.0
100,1000,10.0,1.0,0.7,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,11.879893926540255,0.046430513700317165,11.87582411257358,11.88396374050693,11.878004826922531,11.872922729129009,11.883108994404719,11.85096670220519,11.909897705491403,11.878004826922531,10.00000000000001,8.50193572288406,11.719380523657879,1.3784491363596247,0.9999999999999992
100,1000,10.0,1.3,0.0,0.25,250,500,0.0,1.0,1.0,1.0,1.0,1.0,16.86100446231541,0.056223540790425935,16.856076251677,16.86593267295382,16.86129340547506,16.85438838980853,16.869131835142884,16.818558287260075,16.898801144961197,12.970225696519275,10.000000000000023,7.8814788196947685,12.60472983094745,1.5115632695804009,1.0111399577852282
100,1000,10.0,1.3,0.0,1.0,1000,500,0.0,1.0,1.0,1.0,1.0,1.0,16.856886728470613,0.04287400605156421,16.85312865614425,16.860644800796976,16.8543270898546,16.8505138747805,16.86052078547108,16.82533150453238,16.887169371594375,12.964866992195848,10.000000000000023,7.8852315930296015,12.597764171408473,1.4782493840491724,0.9999999999999997
